2024-12-03 10:38:25.069257 Epoch 1, Training loss 0.3524161725800637, Validation Accuracy 0.8808074335148991
2024-12-03 10:46:04.350233 Epoch 33, Training loss 0.02122044539601918, Validation Accuracy 0.9602691445049664
2024-12-03 10:46:18.757172 Epoch 34, Training loss 0.03017248823280223, Validation Accuracy 0.9545017622556873
2024-12-03 10:46:32.956752 Epoch 35, Training loss 0.025056859126385323, Validation Accuracy 0.9666773470041653
2024-12-03 10:46:47.160735 Epoch 36, Training loss 0.022796109580157094, Validation Accuracy 0.9660365267542455
2024-12-03 10:47:01.264327 Epoch 37, Training loss 0.020766461460050522, Validation Accuracy 0.9615507850048062
2024-12-03 10:47:15.541232 Epoch 38, Training loss 0.021011670352210295, Validation Accuracy 0.9637936558795258
2024-12-03 10:47:29.719678 Epoch 39, Training loss 0.014181343123741579, Validation Accuracy 0.9577058635052867
2024-12-03 10:47:44.047263 Epoch 40, Training loss 0.04183191912553725, Validation Accuracy 0.9554629926305671
2024-12-03 10:47:57.874350 Epoch 41, Training loss 0.0269449367126646, Validation Accuracy 0.9448894585068888
2024-12-03 10:48:11.622620 Epoch 42, Training loss 0.016930700169143685, Validation Accuracy 0.9519384812560077
2024-12-03 10:48:25.714221 Epoch 43, Training loss 0.02407720786987733, Validation Accuracy 0.9487343800064082
2024-12-03 10:48:39.719781 Epoch 44, Training loss 0.026905122983381043, Validation Accuracy 0.9679589875040051
2024-12-03 10:48:53.789807 Epoch 45, Training loss 0.01356113060208702, Validation Accuracy 0.9535405318808075
2024-12-03 10:49:07.917531 Epoch 46, Training loss 0.04435742380947136, Validation Accuracy 0.9557834027555271
2024-12-03 10:49:21.944427 Epoch 47, Training loss 0.017348890024651255, Validation Accuracy 0.9532201217558475
2024-12-03 10:49:35.856414 Epoch 48, Training loss 0.017554599994641037, Validation Accuracy 0.9593079141300865
2024-12-03 10:49:50.082679 Epoch 49, Training loss 0.015284840625503825, Validation Accuracy 0.9609099647548862
2024-12-03 10:50:04.083555 Epoch 50, Training loss 0.02282978630385073, Validation Accuracy 0.9567446331304069
2024-12-03 10:52:59.924651 Epoch 1, Training loss 0.1561955284349054, Validation Accuracy 0.9355975648830503
2024-12-03 10:53:13.745518 Epoch 2, Training loss 0.13317556131347927, Validation Accuracy 0.9477731496315284
2024-12-03 10:53:27.506129 Epoch 3, Training loss 0.09761526242268888, Validation Accuracy 0.9394424863825697
2024-12-03 10:53:41.409054 Epoch 4, Training loss 0.09270092728956227, Validation Accuracy 0.9564242230054469
2024-12-03 10:53:55.238971 Epoch 5, Training loss 0.0943713817086441, Validation Accuracy 0.9516180711310478
2024-12-03 10:54:09.306849 Epoch 6, Training loss 0.07583142570301629, Validation Accuracy 0.9557834027555271
2024-12-03 10:54:23.276856 Epoch 7, Training loss 0.0676541238865265, Validation Accuracy 0.9573854533803268
2024-12-03 10:54:37.159028 Epoch 8, Training loss 0.058462493956274196, Validation Accuracy 0.9557834027555271
2024-12-03 10:54:51.320319 Epoch 9, Training loss 0.0677359794860172, Validation Accuracy 0.9599487343800064
2024-12-03 10:55:05.215005 Epoch 10, Training loss 0.05926615880170499, Validation Accuracy 0.9637936558795258
